Gender,Age,Debt,Married,BankCustomer,Industry,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,Income,Approved
1.0,3.2220707157647195,2.302585092994046,1.0,1.0,1.0,3.0,0.2231435513142097,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,3.49650756146648,1.01160091167848,0.0,0.0,3.0,2.0,0.0392207131532813,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,3.788045825608435,1.791759469228055,1.0,1.0,5.0,0.0,1.1786549963416462,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,3.048324723673161,0.2231435513142097,1.0,1.0,9.0,3.0,0.1177830356563834,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3.1280754605417043,0.9321640810304452,1.0,1.0,7.0,3.0,0.0815799869924228,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,3.6908774567766094,1.6094379124341005,1.0,1.0,0.0,3.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.974508637102364,1.9035989509835904,1.0,1.0,2.0,3.0,0.4317824164255378,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.908539061851614,2.3513752571634776,1.0,1.0,1.0,3.0,1.01160091167848,0.0,1.0,2.3978952727983707,1.0,0.0,2.3978952727983707,0.0
1.0,3.3614165116503107,1.6094379124341005,0.0,0.0,5.0,2.0,1.9095425048844383,1.0,1.0,1.0986122886681098,1.0,0.0,0.0,0.0
1.0,3.075928815548268,0.8109302162163288,0.0,0.0,0.0,2.0,0.8649974374866045,1.0,1.0,1.3862943611198906,1.0,0.0,5.351858133476067,0.0
1.0,3.420346200500916,1.749199854809259,1.0,1.0,8.0,3.0,1.0986122886681098,0.0,1.0,0.6931471805599453,1.0,0.0,4.23410650459726,0.0
1.0,3.588230045964006,1.252762968495368,1.0,1.0,7.0,3.0,1.7047480922384253,1.0,1.0,2.079441541679836,0.0,0.0,7.147559271189454,1.0
